index,brand,gender,size,title,category,size_detail
0,Uniqlo,male,"[""XS"", ""S"", ""M"", ""L"", ""XL"", ""XXL"", ""XXXL""]",울트라라이트다운컴팩트V넥베스트,울트라라이트다운,"[{""가슴너비"": ""45.5"", ""전체길이B"": ""60""}, {""가슴너비"": ""48.5"", ""전체길이B"": ""62""}, {""가슴너비"": ""51.5"", ""전체길이B"": ""64""}, {""가슴너비"": ""54.5"", ""전체길이B"": ""66""}, {""가슴너비"": ""58.5"", ""전체길이B"": ""69""}, {""가슴너비"": ""62.5"", ""전체길이B"": ""70""}, {""가슴너비"": ""66.5"", ""전체길이B"": ""71""}]"
1,Uniqlo,female,"[""S"", ""M"", ""L"", ""XL"", ""XXL""]",드레이프와이드크롭팬츠,팬츠·슬랙스,"[{""허리둘레(신체)"": ""60~66"", ""엉덩이둘레"": ""100"", ""밑위길이"": ""26.5"", ""허벅지폭"": ""32"", ""밑단폭"": ""22""}, {""허리둘레(신체)"": ""63~69"", ""엉덩이둘레"": ""104"", ""밑위길이"": ""27"", ""허벅지폭"": ""33"", ""밑단폭"": ""23""}, {""허리둘레(신체)"": ""69~75"", ""엉덩이둘레"": ""110"", ""밑위길이"": ""28"", ""허벅지폭"": ""35"", ""밑단폭"": ""23.5""}, {""허리둘레(신체)"": ""75~81"", ""엉덩이둘레"": ""116"", ""밑위길이"": ""29"", ""허벅지폭"": ""37"", ""밑단폭"": ""24""}, {""허리둘레(신체)"": ""81~87"", ""엉덩이둘레"": ""122"", ""밑위길이"": ""30"", ""허벅지폭"": ""38.5"", ""밑단폭"": ""25""}]"
2,Uniqlo,male,"[""XS"", ""S"", ""M"", ""L"", ""XL"", ""XXL"", ""3XL""]",드라이컬러크루넥T(반팔)1P,티셔츠,"[{""가슴너비"": ""45"", ""어깨길이"": ""41"", ""전체길이A"": ""64"", ""소매길이"": ""17.5""}, {""가슴너비"": ""48"", ""어깨길이"": ""42.5"", ""전체길이A"": ""66"", ""소매길이"": ""18""}, {""가슴너비"": ""51"", ""어깨길이"": ""44"", ""전체길이A"": ""69"", ""소매길이"": ""19.5""}, {""가슴너비"": ""54"", ""어깨길이"": ""45.5"", ""전체길이A"": ""72"", ""소매길이"": ""20.5""}, {""가슴너비"": ""58"", ""어깨길이"": ""47.5"", ""전체길이A"": ""75"", ""소매길이"": ""21.5""}, {""가슴너비"": ""62"", ""어깨길이"": ""49.5"", ""전체길이A"": ""77"", ""소매길이"": ""21.5""}, {""가슴너비"": ""66"", ""어깨길이"": ""51.5"", ""전체길이A"": ""77"", ""소매길이"": ""21.5""}]"
3,Uniqlo,male,"[""M"", ""L"", ""XL""]",AIRism복서브리프(레귤러라이즈),AIRism,"[{""허리둘레(신체)"": ""76~84"", ""사이드길이"": ""28""}, {""허리둘레(신체)"": ""84~92"", ""사이드길이"": ""29.5""}, {""허리둘레(신체)"": ""92~100"", ""사이드길이"": ""31.5""}]"
4,Uniqlo,male,"[""M"", ""L"", ""XL""]",AIRism로라이즈복서브리프,AIRism,"[{""허리둘레(신체)"": ""76~84"", ""사이드길이"": ""22""}, {""허리둘레(신체)"": ""84~92"", ""사이드길이"": ""23.5""}, {""허리둘레(신체)"": ""92~100"", ""사이드길이"": ""24.5""}]"
5,Uniqlo,female,"[""XS"", ""S"", ""M"", ""L"", ""XL"", ""XXL"", ""3XL""]",스마트스타일앵클팬츠,팬츠·슬랙스,"[{""허리둘레(신체)"": ""57~63"", ""엉덩이둘레"": ""84.5"", ""밑위길이"": ""21"", ""허벅지폭"": ""27"", ""밑단폭"": ""14.5""}, {""허리둘레(신체)"": ""60~66"", ""엉덩이둘레"": ""88"", ""밑위길이"": ""21.5"", ""허벅지폭"": ""28"", ""밑단폭"": ""15""}, {""허리둘레(신체)"": ""63~69"", ""엉덩이둘레"": ""92"", ""밑위길이"": ""22.5"", ""허벅지폭"": ""29.5"", ""밑단폭"": ""16""}, {""허리둘레(신체)"": ""69~75"", ""엉덩이둘레"": ""98"", ""밑위길이"": ""23.5"", ""허벅지폭"": ""31.5"", ""밑단폭"": ""16.5""}, {""허리둘레(신체)"": ""75~81"", ""엉덩이둘레"": ""104"", ""밑위길이"": ""24.5"", ""허벅지폭"": ""33"", ""밑단폭"": ""17""}, {""허리둘레(신체)"": ""81~87"", ""엉덩이둘레"": ""110"", ""밑위길이"": ""25.5"", ""허벅지폭"": ""35"", ""밑단폭"": ""18""}, {""허리둘레(신체)"": ""87~93"", ""엉덩이둘레"": ""116"", ""밑위길이"": ""26.5"", ""허벅지폭"": ""37"", ""밑단폭"": ""18.5""}]"
6,Uniqlo,male,"[""S"", ""M"", ""L"", ""XL""]",SUPIMA COTTON크루넥T(반팔)16SS,티셔츠,"[{""가슴너비"": ""47.5"", ""어깨길이"": ""41.5"", ""전체길이A"": ""65"", ""소매길이"": ""19""}, {""가슴너비"": ""50.5"", ""어깨길이"": ""43"", ""전체길이A"": ""68"", ""소매길이"": ""20.5""}, {""가슴너비"": ""53.5"", ""어깨길이"": ""44.5"", ""전체길이A"": ""71"", ""소매길이"": ""21.5""}, {""가슴너비"": ""57.5"", ""어깨길이"": ""46.5"", ""전체길이A"": ""74"", ""소매길이"": ""22.5""}]"
7,Uniqlo,male,"[""S"", ""M"", ""L"", ""XL""]",AIRism메쉬탱크탑,AIRism,"[{""가슴너비"": ""40.5"", ""전체길이A"": ""63""}, {""가슴너비"": ""43.5"", ""전체길이A"": ""66""}, {""가슴너비"": ""46.5"", ""전체길이A"": ""69""}, {""가슴너비"": ""50.5"", ""전체길이A"": ""72""}]"
8,Uniqlo,female,"[""S"", ""M"", ""L"", ""XL"", ""XXL"", ""3XL""]",AIRism브라캐미솔16SS,AIRism,"[{""가슴너비"": ""34""}, {""가슴너비"": ""36""}, {""가슴너비"": ""38.5""}, {""가슴너비"": ""41""}, {""가슴너비"": ""44""}, {""가슴너비"": ""47""}]"
9,Uniqlo,female,"[""M"", ""L"", ""XL""]",울트라심리스쇼츠(힙허거),쇼츠·바디쉐이퍼,"[{""엉덩이둘레(신체치수)"": ""88~94"", ""사이드길이"": ""9.5""}, {""엉덩이둘레(신체치수)"": ""94~100"", ""사이드길이"": ""10.5""}, {""엉덩이둘레(신체치수)"": ""100~106"", ""사이드길이"": ""11.5""}]"
